"ID","TABLE","FIELD","OLD_VALUE","NEO_VALUE","STATUS","FLAGS","NOTES"
"MAST.MATNR","MAST","MATNR","PM#3:key=PK/FK|dt=|len= ;; PP-PI#2:key=PK/FK|dt=CHAR|len=18->40","key=PK/FK|dt=CHAR|len=18->40|mods=PM+PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=5 neo=5; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree; key=""PK/FK"": OLD /object/MAST lists it as PK, /neo/tables/MAST lists it as PK+FK, /neo/object/MAST lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"MAST.WERKS","MAST","WERKS","PM#3:key=PK|dt=|len= ;; PP-PI#2:key=PK|dt=CHAR|len=4","key=PK|dt=CHAR|len=4|mods=PM+PP-PI","EXACT","—","table_fields old_union=5 neo=5; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"MAST.STLAN","MAST","STLAN","PM#3:key=PK|dt=|len= ;; PP-PI#2:key=PK|dt=CHAR|len=1","key=PK|dt=CHAR|len=1|mods=PM+PP-PI","EXACT","—","table_fields old_union=5 neo=5; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"MAST.STLNR","MAST","STLNR","PM#3:key=PK/FK|dt=|len= ;; PP-PI#2:key=FK|dt=CHAR|len=8","key=PK/FK|dt=CHAR|len=8|mods=PM+PP-PI","TRANSFORMED","MERGED_ATTR_OVERWRITE+PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=5 neo=5; documented by 2 dictionary rows, merged by mergedFields(); key stated PK/FK/FK -> NEO kept ""PK/FK""; key=""PK/FK"": OLD /object/MAST lists it as PK, /neo/tables/MAST lists it as PK+FK, /neo/object/MAST lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"MAST.STLAL","MAST","STLAL","PM#3:key=-|dt=|len= ;; PP-PI#2:key=PK|dt=CHAR|len=2","key=PK|dt=CHAR|len=2|mods=PM+PP-PI","TRANSFORMED","MERGED_ATTR_OVERWRITE","table_fields old_union=5 neo=5; documented by 2 dictionary rows, merged by mergedFields(); key stated -/PK -> NEO kept ""PK"""
"MBEW.MATNR","MBEW","MATNR","PP-PI#1:key=PK/FK|dt=CHAR|len=18->40","key=PK/FK|dt=CHAR|len=18->40|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=6 neo=6; key=""PK/FK"": OLD /object/MBEW lists it as PK, /neo/tables/MBEW lists it as PK+FK, /neo/object/MBEW lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"MBEW.BWKEY","MBEW","BWKEY","PP-PI#1:key=PK|dt=CHAR|len=4","key=PK|dt=CHAR|len=4|mods=PP-PI","EXACT","—","table_fields old_union=6 neo=6"
"MBEW.BWTAR","MBEW","BWTAR","PP-PI#1:key=PK|dt=CHAR|len=10","key=PK|dt=CHAR|len=10|mods=PP-PI","EXACT","—","table_fields old_union=6 neo=6"
"MBEW.VPRSV","MBEW","VPRSV","PP-PI#1:key=-|dt=CHAR|len=1","key=-|dt=CHAR|len=1|mods=PP-PI","EXACT","—","table_fields old_union=6 neo=6"
"MBEW.STPRS","MBEW","STPRS","PP-PI#1:key=-|dt=CURR|len=11","key=-|dt=CURR|len=11|mods=PP-PI","EXACT","—","table_fields old_union=6 neo=6"
"MBEW.PEINH","MBEW","PEINH","PP-PI#1:key=-|dt=DEC|len=5","key=-|dt=DEC|len=5|mods=PP-PI","EXACT","—","table_fields old_union=6 neo=6"
"MCH1.MATNR","MCH1","MATNR","PP-PI#1:key=PK/FK|dt=CHAR|len=18->40","key=PK/FK|dt=CHAR|len=18->40|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=7 neo=7; key=""PK/FK"": OLD /object/MCH1 lists it as PK, /neo/tables/MCH1 lists it as PK+FK, /neo/object/MCH1 lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"MCH1.CHARG","MCH1","CHARG","PP-PI#1:key=PK|dt=CHAR|len=10","key=PK|dt=CHAR|len=10|mods=PP-PI","EXACT","—","table_fields old_union=7 neo=7"
"MCH1.ERSDA","MCH1","ERSDA","PP-PI#1:key=-|dt=DATS|len=8","key=-|dt=DATS|len=8|mods=PP-PI","EXACT","—","table_fields old_union=7 neo=7"
"MCH1.VFDAT","MCH1","VFDAT","PP-PI#1:key=-|dt=DATS|len=8","key=-|dt=DATS|len=8|mods=PP-PI","EXACT","—","table_fields old_union=7 neo=7"
"MCH1.HSDAT","MCH1","HSDAT","PP-PI#1:key=-|dt=DATS|len=8","key=-|dt=DATS|len=8|mods=PP-PI","EXACT","—","table_fields old_union=7 neo=7"
"MCH1.LICHA","MCH1","LICHA","PP-PI#1:key=-|dt=CHAR|len=15","key=-|dt=CHAR|len=15|mods=PP-PI","EXACT","—","table_fields old_union=7 neo=7"
"MCH1.ZUSTD","MCH1","ZUSTD","PP-PI#1:key=-|dt=CHAR|len=1","key=-|dt=CHAR|len=1|mods=PP-PI","EXACT","—","table_fields old_union=7 neo=7"
"MCHA.MATNR","MCHA","MATNR","PP-PI#1:key=PK/FK|dt=CHAR|len=18->40","key=PK/FK|dt=CHAR|len=18->40|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=4 neo=4; key=""PK/FK"": OLD /object/MCHA lists it as PK, /neo/tables/MCHA lists it as PK+FK, /neo/object/MCHA lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"MCHA.WERKS","MCHA","WERKS","PP-PI#1:key=PK|dt=CHAR|len=4","key=PK|dt=CHAR|len=4|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"MCHA.CHARG","MCHA","CHARG","PP-PI#1:key=PK/FK|dt=CHAR|len=10","key=PK/FK|dt=CHAR|len=10|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=4 neo=4; key=""PK/FK"": OLD /object/MCHA lists it as PK, /neo/tables/MCHA lists it as PK+FK, /neo/object/MCHA lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"MCHA.ZUSCH","MCHA","ZUSCH","PP-PI#1:key=-|dt=CHAR|len=2","key=-|dt=CHAR|len=2|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"MDMA.MATNR","MDMA","MATNR","PP-PI#1:key=PK/FK|dt=CHAR|len=18->40","key=PK/FK|dt=CHAR|len=18->40|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=4 neo=4; key=""PK/FK"": OLD /object/MDMA lists it as PK, /neo/tables/MDMA lists it as PK+FK, /neo/object/MDMA lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"MDMA.WERKS","MDMA","WERKS","PP-PI#1:key=PK/FK|dt=CHAR|len=4","key=PK/FK|dt=CHAR|len=4|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=4 neo=4; key=""PK/FK"": OLD /object/MDMA lists it as PK, /neo/tables/MDMA lists it as PK+FK, /neo/object/MDMA lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"MDMA.BERID","MDMA","BERID","PP-PI#1:key=PK|dt=CHAR|len=10","key=PK|dt=CHAR|len=10|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"MDMA.DISMM","MDMA","DISMM","PP-PI#1:key=-|dt=CHAR|len=2","key=-|dt=CHAR|len=2|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"MEAN.MATNR","MEAN","MATNR","PP-PI#1:key=PK/FK|dt=CHAR|len=18->40","key=PK/FK|dt=CHAR|len=18->40|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=5 neo=5; key=""PK/FK"": OLD /object/MEAN lists it as PK, /neo/tables/MEAN lists it as PK+FK, /neo/object/MEAN lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"MEAN.MEINH","MEAN","MEINH","PP-PI#1:key=PK|dt=UNIT|len=3","key=PK|dt=UNIT|len=3|mods=PP-PI","EXACT","—","table_fields old_union=5 neo=5"
"MEAN.EAN11","MEAN","EAN11","PP-PI#1:key=PK|dt=CHAR|len=18","key=PK|dt=CHAR|len=18|mods=PP-PI","EXACT","—","table_fields old_union=5 neo=5"
"MEAN.EANTP","MEAN","EANTP","PP-PI#1:key=-|dt=CHAR|len=2","key=-|dt=CHAR|len=2|mods=PP-PI","EXACT","—","table_fields old_union=5 neo=5"
"MEAN.HPEAN","MEAN","HPEAN","PP-PI#1:key=-|dt=CHAR|len=1","key=-|dt=CHAR|len=1|mods=PP-PI","EXACT","—","table_fields old_union=5 neo=5"
"MHIO.WARPL","MHIO","WARPL","PM#11:key=PK/FK|dt=|len=","key=PK/FK|dt=|len=|mods=PM","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=5 neo=5; key=""PK/FK"": OLD /object/MHIO lists it as PK, /neo/tables/MHIO lists it as PK+FK, /neo/object/MHIO lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"MHIO.ABNUM","MHIO","ABNUM","PM#11:key=PK|dt=|len=","key=PK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"MHIO.NPLDA","MHIO","NPLDA","PM#11:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"MHIO.AUFNR","MHIO","AUFNR","PM#11:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"MHIO.ABRUF","MHIO","ABRUF","PM#11:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"MHIS.WARPL","MHIS","WARPL","PM#11:key=PK/FK|dt=|len=","key=PK/FK|dt=|len=|mods=PM","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=4 neo=4; key=""PK/FK"": OLD /object/MHIS lists it as PK, /neo/tables/MHIS lists it as PK+FK, /neo/object/MHIS lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"MHIS.ABNUM","MHIS","ABNUM","PM#11:key=PK|dt=|len=","key=PK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=4 neo=4"
"MHIS.NTERM","MHIS","NTERM","PM#11:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=4 neo=4"
"MHIS.HORIZ","MHIS","HORIZ","PM#11:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=4 neo=4"
"MKAL.MATNR","MKAL","MATNR","PP-PI#4:key=PK/FK|dt=CHAR|len=18->40","key=PK/FK|dt=CHAR|len=18->40|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=15 neo=15; key=""PK/FK"": OLD /object/MKAL lists it as PK, /neo/tables/MKAL lists it as PK+FK, /neo/object/MKAL lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"MKAL.WERKS","MKAL","WERKS","PP-PI#4:key=PK/FK|dt=CHAR|len=4","key=PK/FK|dt=CHAR|len=4|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=15 neo=15; key=""PK/FK"": OLD /object/MKAL lists it as PK, /neo/tables/MKAL lists it as PK+FK, /neo/object/MKAL lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"MKAL.VERID","MKAL","VERID","PP-PI#4:key=PK|dt=CHAR|len=4","key=PK|dt=CHAR|len=4|mods=PP-PI","EXACT","—","table_fields old_union=15 neo=15"
"MKAL.TEXT1","MKAL","TEXT1","PP-PI#4:key=-|dt=CHAR|len=40","key=-|dt=CHAR|len=40|mods=PP-PI","EXACT","—","table_fields old_union=15 neo=15"
"MKAL.ADATU","MKAL","ADATU","PP-PI#4:key=-|dt=DATS|len=8","key=-|dt=DATS|len=8|mods=PP-PI","EXACT","—","table_fields old_union=15 neo=15"
"MKAL.BDATU","MKAL","BDATU","PP-PI#4:key=-|dt=DATS|len=8","key=-|dt=DATS|len=8|mods=PP-PI","EXACT","—","table_fields old_union=15 neo=15"
"MKAL.BSTMI","MKAL","BSTMI","PP-PI#4:key=-|dt=QUAN|len=13","key=-|dt=QUAN|len=13|mods=PP-PI","EXACT","—","table_fields old_union=15 neo=15"
"MKAL.BSTMA","MKAL","BSTMA","PP-PI#4:key=-|dt=QUAN|len=13","key=-|dt=QUAN|len=13|mods=PP-PI","EXACT","—","table_fields old_union=15 neo=15"
"MKAL.STLAL","MKAL","STLAL","PP-PI#4:key=FK|dt=CHAR|len=2","key=FK|dt=CHAR|len=2|mods=PP-PI","EXACT","—","table_fields old_union=15 neo=15"
"MKAL.STLAN","MKAL","STLAN","PP-PI#4:key=FK|dt=CHAR|len=1","key=FK|dt=CHAR|len=1|mods=PP-PI","EXACT","—","table_fields old_union=15 neo=15"
"MKAL.PLNTY","MKAL","PLNTY","PP-PI#4:key=FK|dt=CHAR|len=1","key=FK|dt=CHAR|len=1|mods=PP-PI","EXACT","—","table_fields old_union=15 neo=15"
"MKAL.PLNNR","MKAL","PLNNR","PP-PI#4:key=FK|dt=CHAR|len=8","key=FK|dt=CHAR|len=8|mods=PP-PI","EXACT","—","table_fields old_union=15 neo=15"
"MKAL.ALNAL","MKAL","ALNAL","PP-PI#4:key=FK|dt=CHAR|len=2","key=FK|dt=CHAR|len=2|mods=PP-PI","EXACT","—","table_fields old_union=15 neo=15"
"MKAL.MDV01","MKAL","MDV01","PP-PI#4:key=FK|dt=CHAR|len=8","key=FK|dt=CHAR|len=8|mods=PP-PI","EXACT","—","table_fields old_union=15 neo=15"
"MKAL.PRFG_NEW","MKAL","PRFG_NEW","PP-PI#4:key=-|dt=CHAR|len=1","key=-|dt=CHAR|len=1|mods=PP-PI","EXACT","—","table_fields old_union=15 neo=15"
"MKPF.MBLNR","MKPF","MBLNR","PM#9:key=PK|dt=|len=","key=PK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"MKPF.MJAHR","MKPF","MJAHR","PM#9:key=PK|dt=|len=","key=PK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"MKPF.BLDAT","MKPF","BLDAT","PM#9:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"MKPF.BUDAT","MKPF","BUDAT","PM#9:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"MKPF.USNAM","MKPF","USNAM","PM#9:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"MLAN.MATNR","MLAN","MATNR","PP-PI#1:key=PK/FK|dt=CHAR|len=18->40","key=PK/FK|dt=CHAR|len=18->40|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=3 neo=3; key=""PK/FK"": OLD /object/MLAN lists it as PK, /neo/tables/MLAN lists it as PK+FK, /neo/object/MLAN lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"MLAN.ALAND","MLAN","ALAND","PP-PI#1:key=PK|dt=CHAR|len=3","key=PK|dt=CHAR|len=3|mods=PP-PI","EXACT","—","table_fields old_union=3 neo=3"
"MLAN.TAXM1","MLAN","TAXM1","PP-PI#1:key=-|dt=CHAR|len=1","key=-|dt=CHAR|len=1|mods=PP-PI","EXACT","—","table_fields old_union=3 neo=3"
"MLGN.MATNR","MLGN","MATNR","PP-PI#1:key=PK/FK|dt=CHAR|len=18->40","key=PK/FK|dt=CHAR|len=18->40|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=4 neo=4; key=""PK/FK"": OLD /object/MLGN lists it as PK, /neo/tables/MLGN lists it as PK+FK, /neo/object/MLGN lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"MLGN.LGNUM","MLGN","LGNUM","PP-PI#1:key=PK|dt=CHAR|len=3","key=PK|dt=CHAR|len=3|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"MLGN.LTKZA","MLGN","LTKZA","PP-PI#1:key=-|dt=CHAR|len=3","key=-|dt=CHAR|len=3|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"MLGN.LTKZE","MLGN","LTKZE","PP-PI#1:key=-|dt=CHAR|len=3","key=-|dt=CHAR|len=3|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"MLGT.MATNR","MLGT","MATNR","PP-PI#1:key=PK/FK|dt=CHAR|len=18->40","key=PK/FK|dt=CHAR|len=18->40|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=4 neo=4; key=""PK/FK"": OLD /object/MLGT lists it as PK, /neo/tables/MLGT lists it as PK+FK, /neo/object/MLGT lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"MLGT.LGNUM","MLGT","LGNUM","PP-PI#1:key=PK/FK|dt=CHAR|len=3","key=PK/FK|dt=CHAR|len=3|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=4 neo=4; key=""PK/FK"": OLD /object/MLGT lists it as PK, /neo/tables/MLGT lists it as PK+FK, /neo/object/MLGT lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"MLGT.LGTYP","MLGT","LGTYP","PP-PI#1:key=PK|dt=CHAR|len=3","key=PK|dt=CHAR|len=3|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"MLGT.LPMAX","MLGT","LPMAX","PP-PI#1:key=-|dt=QUAN|len=13","key=-|dt=QUAN|len=13|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"MPLA.WARPL","MPLA","WARPL","PM#11:key=PK|dt=|len=","key=PK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"MPLA.MPTYP","MPLA","MPTYP","PM#11:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"MPLA.STRAT","MPLA","STRAT","PM#11:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"MPLA.HORIZ","MPLA","HORIZ","PM#11:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"MPLA.ABRHO","MPLA","ABRHO","PM#11:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"MPOS.WAPOS","MPOS","WAPOS","PM#11:key=PK|dt=|len=","key=PK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"MPOS.WARPL","MPOS","WARPL","PM#11:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"MPOS.EQUNR","MPOS","EQUNR","PM#11:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"MPOS.TPLNR","MPOS","TPLNR","PM#11:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"MPOS.AUART","MPOS","AUART","PM#11:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"MPOS.PLNNR","MPOS","PLNNR","PM#11:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"MSEG.MBLNR","MSEG","MBLNR","PM#9:key=PK/FK|dt=|len=","key=PK/FK|dt=|len=|mods=PM","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=6 neo=6; key=""PK/FK"": OLD /object/MSEG lists it as PK, /neo/tables/MSEG lists it as PK+FK, /neo/object/MSEG lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"MSEG.ZEILE","MSEG","ZEILE","PM#9:key=PK|dt=|len=","key=PK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"MSEG.BWART","MSEG","BWART","PM#9:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"MSEG.MATNR","MSEG","MATNR","PM#9:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"MSEG.MENGE","MSEG","MENGE","PM#9:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"MSEG.AUFNR","MSEG","AUFNR","PM#9:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"MVKE.MATNR","MVKE","MATNR","PP-PI#1:key=PK/FK|dt=CHAR|len=18->40","key=PK/FK|dt=CHAR|len=18->40|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=4 neo=4; key=""PK/FK"": OLD /object/MVKE lists it as PK, /neo/tables/MVKE lists it as PK+FK, /neo/object/MVKE lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"MVKE.VKORG","MVKE","VKORG","PP-PI#1:key=PK|dt=CHAR|len=4","key=PK|dt=CHAR|len=4|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"MVKE.VTWEG","MVKE","VTWEG","PP-PI#1:key=PK|dt=CHAR|len=2","key=PK|dt=CHAR|len=2|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"MVKE.MTPOS","MVKE","MTPOS","PP-PI#1:key=-|dt=CHAR|len=4","key=-|dt=CHAR|len=4|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"OBJK.OBKNR","OBJK","OBKNR","PM#2:key=PK|dt=|len=","key=PK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"OBJK.EQUNR","OBJK","EQUNR","PM#2:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"OBJK.SERNR","OBJK","SERNR","PM#2:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"OBJK.MATNR","OBJK","MATNR","PM#2:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"OBJK.TASER","OBJK","TASER","PM#2:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"PLAS.PLNTY","PLAS","PLNTY","PP-PI#3:key=PK/FK|dt=CHAR|len=1","key=PK/FK|dt=CHAR|len=1|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=6 neo=6; key=""PK/FK"": OLD /object/PLAS lists it as PK, /neo/tables/PLAS lists it as PK+FK, /neo/object/PLAS lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"PLAS.PLNNR","PLAS","PLNNR","PP-PI#3:key=PK/FK|dt=CHAR|len=8","key=PK/FK|dt=CHAR|len=8|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=6 neo=6; key=""PK/FK"": OLD /object/PLAS lists it as PK, /neo/tables/PLAS lists it as PK+FK, /neo/object/PLAS lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"PLAS.PLNAL","PLAS","PLNAL","PP-PI#3:key=PK|dt=CHAR|len=2","key=PK|dt=CHAR|len=2|mods=PP-PI","EXACT","—","table_fields old_union=6 neo=6"
"PLAS.PLNKN","PLAS","PLNKN","PP-PI#3:key=PK|dt=NUMC|len=8","key=PK|dt=NUMC|len=8|mods=PP-PI","EXACT","—","table_fields old_union=6 neo=6"
"PLAS.ZAEHL","PLAS","ZAEHL","PP-PI#3:key=PK|dt=NUMC|len=8","key=PK|dt=NUMC|len=8|mods=PP-PI","EXACT","—","table_fields old_union=6 neo=6"
"PLAS.LOEKZ","PLAS","LOEKZ","PP-PI#3:key=-|dt=CHAR|len=1","key=-|dt=CHAR|len=1|mods=PP-PI","EXACT","—","table_fields old_union=6 neo=6"
"PLFL.PLNTY","PLFL","PLNTY","PP-PI#3:key=PK/FK|dt=CHAR|len=1","key=PK/FK|dt=CHAR|len=1|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=4 neo=4; key=""PK/FK"": OLD /object/PLFL lists it as PK, /neo/tables/PLFL lists it as PK+FK, /neo/object/PLFL lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"PLFL.PLNNR","PLFL","PLNNR","PP-PI#3:key=PK/FK|dt=CHAR|len=8","key=PK/FK|dt=CHAR|len=8|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=4 neo=4; key=""PK/FK"": OLD /object/PLFL lists it as PK, /neo/tables/PLFL lists it as PK+FK, /neo/object/PLFL lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"PLFL.PLNFL","PLFL","PLNFL","PP-PI#3:key=PK|dt=CHAR|len=6","key=PK|dt=CHAR|len=6|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"PLFL.FLGAT","PLFL","FLGAT","PP-PI#3:key=-|dt=CHAR|len=1","key=-|dt=CHAR|len=1|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"PLKO.PLNNR","PLKO","PLNNR","PM#11:key=PK|dt=|len= ;; PP-PI#3:key=PK|dt=CHAR|len=8","key=PK|dt=CHAR|len=8|mods=PM+PP-PI","EXACT","—","table_fields old_union=7 neo=7; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"PLKO.PLNAL","PLKO","PLNAL","PM#11:key=PK|dt=|len= ;; PP-PI#3:key=PK|dt=CHAR|len=2","key=PK|dt=CHAR|len=2|mods=PM+PP-PI","EXACT","—","table_fields old_union=7 neo=7; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
